length,descriptor,generated_count,real_count,generated_mean,real_mean,generated_std,real_std,generated_q05,generated_q50,generated_q95,real_q05,real_q50,real_q95,generated_mean_ci_low,generated_mean_ci_high,real_mean_ci_low,real_mean_ci_high,wasserstein_distance,ks_statistic,warning
64,rank3_residual_energy_fraction,100,64,0.07594390263208242,2.65188116826453e-07,0.02589172691591998,2.0086542903810197e-08,0.0452938302642619,0.0707390646746113,0.12296480764245553,2.3745605961984307e-07,2.6082696397281875e-07,3.0257082104713146e-07,0.07055188348536881,0.08063891923271654,2.606239893069714e-07,2.6940982372567183e-07,0.0759436374489146,1.0,
128,adjacent_residue_distance_mean,100,64,3.8711651595370977,3.8079062319236012,0.1305209949544097,0.01954219203493704,3.670393130065888,3.8630244253188604,4.10211160117247,3.789734401289872,3.8038721901225294,3.8570342069535744,3.8477731650481073,3.8970944809941797,3.8030993624106344,3.8134293426774204,0.10986350315335656,0.5275000000000001,
128,contact_fraction_6A,100,64,0.03948818897637795,0.04055425688976378,0.004985369816555681,0.004081797024902758,0.03001353346456693,0.03992372047244094,0.04570620078740157,0.03395054133858268,0.04084645669291338,0.04620447834645669,0.03856557578740158,0.04040858759842519,0.03957644485113189,0.04162929264579232,0.0012302031138153183,0.14437499999999998,
128,contact_fraction_8A,100,64,0.06749876968503936,0.07070850762795275,0.005786108736588369,0.006149400942715398,0.05989173228346457,0.06625246062992125,0.07718380905511811,0.06290600393700788,0.07166584645669291,0.07980437992125983,0.0664736405019685,0.06877116141732283,0.06922732375738189,0.07218329962782971,0.003816996241947031,0.349375,
128,contact_fraction_10A,100,64,0.11238681102362205,0.12108798289862205,0.014502282266763459,0.014430691450307632,0.09032357283464568,0.11202017716535433,0.13513779527559056,0.10185777559055118,0.12333907480314961,0.143380905511811,0.10944328248031497,0.11493368602362207,0.11717260165477363,0.12402612881397637,0.009550823192555473,0.31000000000000005,
128,long_range_contact_fraction,100,64,0.014083958020989506,0.02311188155922039,0.010702291872020837,0.009776619150095662,0.00267616191904048,0.010644677661169416,0.03569715142428786,0.006536731634182909,0.024737631184407798,0.039947526236881546,0.011894677661169415,0.016317503748125937,0.020904411075712143,0.02549486975262369,0.009020989505247377,0.43875,
128,distance_mean,100,64,20.83436080932617,21.455674678087234,3.9270910225419553,6.892073871010698,18.098537540435792,19.603288650512695,26.959757232666014,17.753096294403075,19.601468086242676,26.913500404357908,20.054744134426116,21.74025145101547,19.99360262528062,23.132292571663857,0.8327543917569264,0.11937500000000001,
128,distance_std,100,64,9.469767837524413,10.135987870395184,3.598894601250963,6.463817492764284,6.695285940170288,8.173639297485352,14.812896633148188,6.761196637153626,8.498729228973389,14.8120771408081,8.801833110809326,10.220530974268913,8.840554969385266,11.894254873320461,0.7897022893212068,0.09562499999999996,
128,radius_of_gyration,100,64,16.151886000751063,16.7715935658075,3.60838537958532,6.507554291880428,13.608132876183356,15.025376060331581,21.98323503045581,13.36771061602914,15.001993767227056,21.56710677439169,15.525052061125203,16.92317737604242,15.418059732019145,18.9082395594821,0.7823443825216083,0.13375,
128,triangle_violation_fraction,100,64,0.00119140625,0.0,0.0018247874515033421,0.0,0.0,0.0009765625,0.0029296875,0.0,0.0,0.0,0.0008541259765625,0.0015042724609375,0.0,0.0,0.0011914062500000002,0.71,
128,triangle_violation_mean,100,64,0.0006423064530827105,0.0,0.0011359953291948477,0.0,0.0,0.0001842443598434329,0.0026903357706032686,0.0,0.0,0.0,0.00047358869193703864,0.0008793450046505313,0.0,0.0,0.0006423064530827108,0.71,
128,negative_eigenvalue_mass_fraction,100,64,0.07454667442775097,3.746926033245365e-07,0.01430826749080478,2.4655144305394193e-08,0.053105266481717324,0.07578568274133365,0.09610881633046636,3.3777176323547026e-07,3.791544641463282e-07,4.147347752020004e-07,0.07152362377922487,0.07776324693006484,3.6834106840488713e-07,3.803389895403058e-07,0.07454629978090682,1.0,
128,rank3_residual_energy_fraction,100,64,0.12596693804363945,3.740689266142593e-07,0.026342866299263665,2.4389599740471653e-08,0.07791943535697989,0.1290750291152727,0.16630610385537148,3.358611324450715e-07,3.7928658358337795e-07,4.1319013977368427e-07,0.12062026898363651,0.13117374807993057,3.686349490498757e-07,3.805305201357227e-07,0.12596656401100575,1.0,
256,adjacent_residue_distance_mean,100,64,3.958885620079788,3.8133795570247377,0.10244864563219314,0.019271374038906677,3.811595743263469,3.9565493896895765,4.124793250140022,3.792968364772122,3.807699797200222,3.856009637374504,3.943197194443965,3.9783145579936456,3.808695381280209,3.8179959633645946,0.14651978316769315,0.79875,
256,contact_fraction_6A,100,64,0.018495098039215684,0.021859496095636526,0.0021829463575261305,0.0013212421917432424,0.01431985294117647,0.018887867647058822,0.021591605392156862,0.019505208333333333,0.021947496060347724,0.024025735294117646,0.018137752757352944,0.018975827205882353,0.02156931014902643,0.022149328496294755,0.0033627426886459915,0.72375,
256,contact_fraction_8A,100,64,0.03410416666666667,0.038203374772434504,0.0021404315078040114,0.002145739178585978,0.031328125,0.03368566176470588,0.038354779411764704,0.03500612745098039,0.03794424019607843,0.04147058823529411,0.03368013174019608,0.03449521292892156,0.037791105587680784,0.03876888791620979,0.00409568614835037,0.69625,
256,contact_fraction_10A,100,64,0.05942432598039215,0.06872679911550338,0.00566083937024704,0.005158591334005495,0.05048253676470588,0.05893075980392157,0.06926164215686274,0.06044577205882353,0.06878063725490197,0.07658904560330108,0.05838826593137255,0.060516605392156864,0.06753409823731146,0.06994006127433762,0.0093057716776819,0.715,
256,long_range_contact_fraction,100,64,0.006719287593604534,0.012285360485116793,0.003257115543047536,0.0036464664260611314,0.0023578223031774943,0.006223436551305404,0.012470485057006,0.0068880114203833925,0.012934320959857441,0.017638129933211892,0.00611354820211833,0.007382336571544222,0.011469201951194087,0.01320123482088404,0.005554424496243662,0.5875,
256,distance_mean,100,64,25.24803379058838,25.330715537071228,3.1570278434844163,3.478522792605752,22.219733333587648,24.4955472946167,30.927765369415283,22.308393669128417,24.406719207763672,33.126570510864255,24.698401950359347,25.83304358816147,24.50113959684968,26.228584671765567,0.5446225166320807,0.10562499999999997,
256,distance_std,100,64,10.836864056587219,11.056411653757095,3.286001393221683,2.9519549446384454,7.985839486122131,9.98794174194336,15.60687289237976,8.455014276504517,10.360180854797363,18.307933425903304,10.250739245057106,11.383701070666312,10.437182674184442,11.807438313961029,0.5413157172636555,0.1375,
