group,requested_length,metric,baseline_mean,baseline_median,candidate_mean,candidate_median,paired_mean_change_candidate_minus_baseline,paired_median_change_candidate_minus_baseline,mean_improvement_baseline_minus_candidate,median_improvement_baseline_minus_candidate,relative_mean_change,bootstrap_ci_low,bootstrap_ci_high,fraction_improved,paired_standardized_effect_size,paired_sample_count,sign_test_p_value,sign_test_improved,sign_test_worsened,sign_test_ties,sign_test_p_value_bh
256,256.0,classical_mds_stress,0.09233839577803014,0.0919729825084688,0.08811395858774822,0.0867589540782214,-0.004224437190281957,-0.0016790224986252197,0.004224437190281957,0.0016790224986252197,-0.045749518980565146,-0.0008231295787429184,0.009156876237316815,0.57,0.16924730443488453,100,0.19334790449564243,57,43,0,0.26365623340314875
256,256.0,adjacent_residue_distance_rmse,0.241844634242102,0.22679665874545776,0.25593890144475145,0.2424158629493262,0.014094267202649485,0.012811702215082543,-0.014094267202649485,-0.012811702215082543,0.05827818858507392,-0.025209558059132407,-0.002636426971394056,0.43,-0.24485804158062593,100,0.19334790449564243,43,57,0,0.26365623340314875
384,384.0,triangle_violation_fraction,0.001708984375,0.0009765625,0.001611328125,0.0009765625,-9.765625e-05,0.0,9.765625e-05,0.0,-0.0571428571428572,-0.000429931640625,0.0006640625,0.46,0.04962168435058351,50,0.5327092552361137,23,18,9,0.6185954521435912
384,384.0,negative_eigenvalue_mass_fraction,0.14987446366589505,0.1518817883595739,0.1383303426153635,0.14013956231824032,-0.01154412105053154,-0.009696579870583803,0.01154412105053154,0.009696579870583803,-0.07702527013718671,0.008775314492449133,0.014534075563861963,0.9,1.0831204037536057,50,4.209852022540872e-09,45,5,0,4.209852022540872e-08
384,384.0,rank3_residual_energy_fraction,0.23486213014608925,0.23473710343265355,0.22325135927700807,0.22770770301455673,-0.011610770869081168,-0.006696118002625956,0.011610770869081168,0.006696118002625956,-0.04943653905318427,0.007010610312809602,0.016298305090631317,0.72,0.6700650916427511,50,0.0026021714567221466,36,14,0,0.006505428641805366
384,384.0,classical_mds_stress,0.12180241236075774,0.12269220426647397,0.11412224058060139,0.11251585554919169,-0.007680171780156375,-0.004058341396478413,0.007680171780156375,0.004058341396478413,-0.06305434868899815,0.002936613583767171,0.012736187391566293,0.6,0.4266116109190001,50,0.20263875106454066,30,20,0,0.26431141443200956
384,384.0,adjacent_residue_distance_rmse,0.2585397068292168,0.24568800606163188,0.2926970908170637,0.28508793424549556,0.03415738398784692,0.036571196303200354,-0.03415738398784692,-0.036571196303200354,0.13211658822840006,-0.04670220893876805,-0.022177329097706654,0.22,-0.7343697154474048,50,9.021490107130603e-05,11,39,0,0.00030071633690435345
500,500.0,triangle_violation_fraction,0.002890625,0.00244140625,0.00251953125,0.0029296875,-0.00037109375,-0.00048828125,0.00037109375,0.00048828125,-0.12837837837837834,-0.00037109375,0.0011328125,0.52,0.19446734153255957,25,1.0,13,12,0,1.0
500,500.0,negative_eigenvalue_mass_fraction,0.1674409377836253,0.17077611658219713,0.16265100072410094,0.16553007578017467,-0.0047899370595243665,-0.005244065194910691,0.0047899370595243665,0.005244065194910691,-0.02860672618612614,0.0014634315652492847,0.008192715585808372,0.8,0.5479154773615756,25,0.004077315330505371,20,5,0,0.008737104279654366
500,500.0,rank3_residual_energy_fraction,0.2452800483760492,0.24528969194714353,0.23920580760461146,0.23640062420210484,-0.0060742407714377104,-0.0038360576447129535,0.0060742407714377104,0.0038360576447129535,-0.02476451228566725,0.0005190151829466558,0.011427851529860535,0.68,0.43145459994200447,25,0.10775214433670044,17,8,0,0.16162821650505066
500,500.0,classical_mds_stress,0.1264843835184426,0.12326265737421332,0.1193911686766533,0.11838996414708584,-0.007093214841789297,-0.00351220783074406,0.007093214841789297,0.00351220783074406,-0.05607976767151692,0.0017641156336267257,0.012685074172633124,0.68,0.49103880080760615,25,0.10775214433670044,17,8,0,0.16162821650505066
500,500.0,adjacent_residue_distance_rmse,0.25817716137893526,0.25892454965135503,0.30085995028756174,0.30830336015074733,0.04268278890862643,0.042457686098581304,-0.04268278890862643,-0.042457686098581304,0.1653236431939056,-0.05943180026093389,-0.02428522793483625,0.2,-0.9384882262015193,25,0.004077315330505371,5,20,0,0.008737104279654366
