timestep,predictor,target_mse_mean,target_mae_mean,target_correlation_mean,epsilon_mse_mean,epsilon_mae_mean,epsilon_correlation_mean,x0_reconstruction_mse_normalized_mean,x0_reconstruction_mae_normalized_mean,x0_reconstruction_mae_angstrom_mean,x0_reconstruction_rmse_angstrom_mean,negative_reconstructed_physical_fraction_mean,nonfinite_fraction_mean,snr_first,amplification_factor_first,valid_pair_count_sum,sample_count_sum,original_length_min,original_length_max,padded_length_min,padded_length_max,epsilon_prediction_min_min,epsilon_prediction_max_max,epsilon_prediction_mean_mean,epsilon_prediction_std_mean,true_epsilon_min_min,true_epsilon_max_max,x0_hat_min_min,x0_hat_max_max,x0_hat_mean_mean,x0_hat_std_mean,v_mse_mean,v_mae_mean,v_correlation_mean,epsilon_reconstruction_mse_mean,epsilon_reconstruction_mae_mean,epsilon_reconstruction_correlation_mean
5,oracle,0.0,0.0,0.9999999720603228,5.327913497664582e-15,4.365373840187203e-08,0.9999999459832907,1.2640992567163029e-15,2.3518119618426425e-08,1.2646869347321399e-06,1.859963465022929e-06,0.0,0.0,1206.1676025390625,0.028793612908236756,779185,32,37,448,40,448,-4.8378705978393555,4.50577449798584,0.002019267874857178,1.0009806957095861,-4.8378705978393555,4.505774021148682,0.05249547213315964,2.0931649208068848,0.43186287581920624,0.19675605604425073,0.0,0.0,0.9999999720603228,5.327913497664582e-15,4.365373840187203e-08,0.9999999459832907
5,zero,1.0014274772256613,0.7984768059104681,,1.0005978420376778,0.7981459815055132,0.159778555855155,0.0008295678126160055,0.022981506655924022,1.2358305789530277,1.5487873926758766,8.204130949707178e-05,0.0,1206.1676025390625,0.028793612908236756,779185,32,37,448,40,448,-0.0013880835613235831,0.06081802770495415,0.012426264176610857,0.005728103991714306,-4.8378705978393555,4.505774021148682,-0.04820803925395012,2.112205743789673,0.4315632302314043,0.1989366253837943,1.0014274772256613,0.7984768059104681,,1.0005978420376778,0.7981459815055132,0.159778555855155
10,model,0.04680244630435482,0.16658374993130565,0.9764675330370665,0.04670689644990489,0.16641362174414098,0.9765623081475496,9.554805649258924e-05,0.007526781118940562,0.40475266333669424,0.5218479922041297,0.0,0.0,488.8314208984375,0.04522936007507622,779185,32,37,448,40,448,-4.931387901306152,4.461278915405273,0.0009171836692871693,0.977524658665061,-4.920474052429199,4.556006908416748,0.04523073509335518,2.086254119873047,0.431760567240417,0.19657226582057774,0.04680244630435482,0.16658374993130565,0.9764675330370665,0.04670689644990489,0.16641362174414098,0.9765623081475496
10,noisy_input,1.1720378398895264,0.8656027130782604,0.23279702162835747,1.1696450784802437,0.8647186737507582,0.24147944315336645,0.0023927362999529578,0.03911066614091396,2.1031761467456818,2.625250995159149,0.001210687792081444,0.0,488.8314208984375,0.04522936007507622,779185,32,37,448,40,448,-0.08789126574993134,2.2185306549072266,0.45041078608483076,0.21099918987601995,-4.920474052429199,4.556006908416748,-0.08028477430343628,2.026529312133789,0.41143026668578386,0.19273839914239943,1.1720378398895264,0.8656027130782604,0.23279702162835747,1.1696450784802437,0.8647186737507582,0.24147944315336645
10,oracle,0.0,0.0,0.9999999739229679,3.4654247961512424e-15,3.044166840826534e-08,0.9999999795109034,8.266114378453361e-16,1.659142875864994e-08,8.922040795056319e-07,1.506468457534993e-06,0.0,0.0,488.8314208984375,0.04522936007507622,779185,32,37,448,40,448,-4.920474529266357,4.556006908416748,-0.001344587687526655,0.9986323267221451,-4.920474052429199,4.556006908416748,0.05249547213315964,2.0931646823883057,0.43186287116259336,0.19675605185329914,0.0,0.0,0.9999999739229679,3.4654247961512424e-15,3.044166840826534e-08,0.9999999795109034
10,zero,0.996163995936513,0.7969755474478006,,0.9941302686929703,0.7961615901440382,0.2414794370997697,0.002033687225775793,0.0360098792007193,1.9364312887191772,2.4250099137425423,0.001210687792081444,0.0,488.8314208984375,0.04522936007507622,779185,32,37,448,40,448,-0.00380324712023139,0.09600066393613815,0.019490258709993213,0.009130395992542617,-4.920474052429199,4.556006908416748,-0.08408802002668381,2.122529983520508,0.43092052452266216,0.20186879439279437,0.996163995936513,0.7969755474478006,,0.9941302686929703,0.7961615901440382,0.2414794370997697
25,model,0.026857750402996317,0.12579622259363532,0.9864355139434338,0.026627439918229356,0.12525569810532033,0.9866649117320776,0.00023031059890854522,0.011649029824184254,0.6264265784993768,0.8070207424461842,0.0,0.0,115.61534118652344,0.09300199530555801,779185,32,37,448,40,448,-4.900113582611084,4.833682060241699,1.0540673429204617e-05,0.9866810515522957,-5.011958599090576,4.985837936401367,0.01813676953315735,2.0836260318756104,0.4321439955383539,0.19639941840432584,0.026857750402996317,0.12579622259363532,0.9864355139434338,0.026627439918229356,0.12525569810532033,0.9866649117320776
25,noisy_input,1.093084804713726,0.8356600608676672,0.43712065927684307,1.083711415529251,0.8320693895220757,0.4537167511880398,0.009373422391945496,0.07738411403261125,4.161330811679363,5.1929062604904175,0.011873115508933552,0.0,115.61534118652344,0.09300199530555801,779185,32,37,448,40,448,-0.31162238121032715,2.3768951892852783,0.4682849505916238,0.23761062370613217,-5.011958599090576,4.985837936401367,-0.25859135389328003,1.9724018573760986,0.3885935377329588,0.19717471906915307,1.093084804713726,0.8356600608676672,0.43712065927684307,1.083711415529251,0.8320693895220757,0.4537167511880398
25,oracle,0.0,0.0,0.9999999739229679,2.742542645881197e-15,2.4808146037447187e-08,0.9999999832361937,6.994084386993501e-16,1.4407740028810068e-08,7.747762289511684e-07,1.3880831559731632e-06,0.0,0.0,115.61534118652344,0.09300199530555801,779185,32,37,448,40,448,-5.011958599090576,4.985837459564209,0.0030335156306477984,0.9971884489059448,-5.011958599090576,4.985837936401367,0.05249546468257904,2.0931646823883057,0.43186285998672247,0.19675604603253305,0.0,0.0,0.9999999739229679,2.742542645881197e-15,2.4808146037447187e-08,0.9999999832361937
25,zero,0.9879257287830114,0.7930032294243574,,0.9794540721923113,0.7895958367735147,0.45371675258502364,0.008471661305520684,0.07343398570083082,3.948912687599659,4.949331566691399,0.011873115508933552,0.0,115.61534118652344,0.09300199530555801,779185,32,37,448,40,448,-0.026515508070588112,0.20224665105342865,0.03984570497414097,0.02021795211476274,-5.011958599090576,4.985837936401367,-0.2851068675518036,2.1746485233306885,0.42843924928456545,0.21739267045632005,0.9879257287830114,0.7930032294243574,,0.9794540721923113,0.7895958367735147,0.45371675258502364
